Course Code,Academic Level,Section Code,Faculty Name,Resource ID,Resource Type,Entry Type,Duration,Day Of Week,Start Time,End Time
DMBI,TE,TALL,MND,519,CLASSROOM,LECTURE,1,WEDNESDAY,09:30,10:30
AI&DS-I,TE,TALL,PPP,519,CLASSROOM,LECTURE,1,WEDNESDAY,10:30,11:30
BI,TE,T1,MND,522,LAB,LAB,2,WEDNESDAY,11:30,13:30
SENSOR,TE,T2,SSD,523,LAB,LAB,2,WEDNESDAY,11:30,13:30
DS USING PYTHON,TE,T3,RPP,525(B),LAB,LAB,2,WEDNESDAY,11:30,13:30
EH&F,TE,TALL,RPP,519,CLASSROOM,LECTURE,1,WEDNESDAY,14:00,15:00
WEB X.0,TE,TALL,SSL,519,CLASSROOM,LECTURE,1,WEDNESDAY,15:00,16:00
BLOCK CHAIN,BE,B3,SPP,525(A),LAB,LAB,2,WEDNESDAY,09:30,11:30
CLOUD COMPUTING,BE,B2,SAK,523,LAB,LAB,2,WEDNESDAY,09:30,11:30
CC&S,BE,BALL,SAK,519,CLASSROOM,LECTURE,1,WEDNESDAY,11:30,12:30
BLOCK CHAIN,BE,BALL,SPP,519,CLASSROOM,LECTURE,1,WEDNESDAY,12:30,13:30
PM,BE,BALL,SSD,519,CLASSROOM,LECTURE,1,WEDNESDAY,14:00,15:00
BIG DATA,BE,BALL,MND,519,CLASSROOM,LECTURE,1,WEDNESDAY,15:00,16:00
NDL,SE,S4,SSD,526,LAB,LAB,2,THURSDAY,09:30,11:30
BMD,SE,S3,VYB,525(B),LAB,LAB,2,THURSDAY,09:30,11:30
MDM,SE,S2,SSL,525(A),LAB,LAB,2,THURSDAY,09:30,11:30
CNND,SE,SALL,SSD,519,CLASSROOM,LECTURE,1,THURSDAY,11:30,12:30
PP,SE,SALL,SAK,519,CLASSROOM,LECTURE,1,THURSDAY,12:30,13:30
MDM,SE,SALL,SSL,519,CLASSROOM,LECTURE,1,THURSDAY,14:00,15:00
DTL,SE,SALL,VYB,519,CLASSROOM,LECTURE,1,THURSDAY,15:00,16:00
BMD,SE,SALL,VYB,519,CLASSROOM,LECTURE,1,THURSDAY,16:00,17:00
WT,TE,TALL,SSD,519,CLASSROOM,LECTURE,1,THURSDAY,09:30,10:30
AI&DS-I,TE,TALL,PPP,519,CLASSROOM,LECTURE,1,THURSDAY,10:30,11:30
MAD&PWA,TE,T3,RPP,525(B),LAB,LAB,2,THURSDAY,11:30,13:30
DS USING PYTHON,TE,T2,PPP,522,LAB,LAB,2,THURSDAY,11:30,13:30
SENSOR,TE,T1,SSD,523,LAB,LAB,2,THURSDAY,11:30,13:30
CC&S,BE,BALL,SAK,519,CLASSROOM,LECTURE,1,THURSDAY,10:30,11:30
BLOCK CHAIN,BE,BALL,SPP,519,CLASSROOM,LECTURE,1,THURSDAY,11:30,12:30
BIG DATA,BE,BALL,MND,519,CLASSROOM,LECTURE,1,THURSDAY,12:30,13:30
PM,BE,BALL,SSD,519,CLASSROOM,LECTURE,1,THURSDAY,14:00,15:00
BMD,SE,S2,VYB,525(B),LAB,LAB,2,FRIDAY,09:30,11:30
MDM,SE,S3,SSL,525(A),LAB,LAB,2,FRIDAY,09:30,11:30
UNIX,SE,S4,PPP,522,LAB,LAB,2,FRIDAY,09:30,11:30
PPL,SE,S1,SAK,523,LAB,LAB,2,FRIDAY,09:30,11:30
OS,SE,SALL,PPP,519,CLASSROOM,LECTURE,1,FRIDAY,11:30,12:30
CNND,SE,SALL,SSD,519,CLASSROOM,LECTURE,1,FRIDAY,12:30,13:30
MDM,SE,SALL,SSL,519,CLASSROOM,LECTURE,1,FRIDAY,14:00,15:00
NDL,SE,S3,SSD,526,LAB,LAB,2,FRIDAY,15:00,17:00
MDM,SE,S4,SSL,523,LAB,LAB,2,FRIDAY,15:00,17:00
UNIX,SE,S1,PPP,522,LAB,LAB,2,FRIDAY,15:00,17:00
DTL,SE,S2,SPP,525(A),LAB,LAB,2,FRIDAY,15:00,17:00
EH&F,TE,TALL,RPP,519,CLASSROOM,LECTURE,1,FRIDAY,10:30,11:30
WT,TE,TALL,SSD,519,CLASSROOM,LECTURE,1,FRIDAY,11:30,12:30
WEB X.0,TE,TALL,SSL,519,CLASSROOM,LECTURE,1,FRIDAY,12:30,13:30
